Spaces,Space Description,Space Location,Facilities,Shelter,Occupants,Traffic (pedestrian),Noise Level,Date/Time of Mapping,Licensed,Recording,Tags,Operational hours,"Altitude (Basement, Ground floor, Level 01, etc.)",Ownership (Public or Private),Access notes,"Cleanliness (Poor, Moderate, High)","Busyness (Low, Medium, High)"
Urban Ashtray_11,Potential space around tree,"Pitt Street Mall, between King and Market Streets",Benches,Yes,,High,High,9/29/11,,,,,,,,,
Urban Ladders_01,"narrow, connects Argyle street to .....",Argyle Street,access,some,,medium,medium,9/8/11,no,,"Public, Short Cuts",,Ground floor,Public,,,
Urban Ladders_02,Windmill Steps - connects Hickson Rd to Windmill St,16 Windmill Street,hand rail,none,,low,low,9/8/11,no,,"Public, Short cuts",,,Public,,,
Urban Ladders_03,connects Towns Place to Dalgety Rd,"5 Towns Place, Millers Point",open public courtyard,none,,low,low,9/8/11,no,,"Public, Short cuts",,,Public,,,
Urban Ladders_04,connects Dalgety Rd to Rodens Lane,"Dalgety Road, Millers Point",,none,,low,low,9/7/11,,,,,,,,,
Urban Ladders_05,intimate public space with views to the Illoura Reserve,Clyne Reserve,stone steps act as seating,,,low,low,9/8/11,,,,,,,,,
Utilitie_08,Myer Food Court Toilets,Under escalators from Pitt St Entry,"Male: 4WC, 5mU; Female: 10WC; Separate Accessible WC; Large Parents Room",,,,,9/29/11,,,"Public, Shopping Complex",0900-1800,LG,Private - Westfield?,"Obscure signage, under the stairs behind you as you enter the food court",H,L
Utilities_01,Circular Quay train station toilets,"Beneath Circular Quay train station platforms, adjacent to ferry wharfs 3 and 6","Male: 5WC, 6m; U Female: 9WC",,,,,9/29/11,,,Public,0700-0000,G,Public - Cityrail,,M/H,L/M
Utilities_02,Marriott Hotel Foyer Toilets,"Sydney Harbour Marriott Hotel at Circular Quay, 30 Pitt Street  Within foyer. Multiple Entry to shops, bar and cafe","Male: 2WC 3U; Female ""3WC",,,,,9/29/11,,,"Public, Public +, Hotel",24hr,LG,Private - Marriott,"Exclusivity, Hidden downstairs in a corner",H,L
Utilities_03,Australia Square Food Court Toilets,"Australia Square Food Court, 264 George St, Center of radial food court","Male: 3WC, 2U; Female: 3WC",,,,,9/29/11,,,"Public, Shopping Complex",0900-1800,G,Private,"Small entrance amongst shopfronts in the center of the court, encourages walking past maximum number of shops",M,H
Utilities_04,Radisson Plaza Hotel Foyer,"Radisson Plaza Hotel Sydney, 27 O'Connell Street (Outside Bilson’s Restaurant)","Male: 4WC, 4U; Female: 4WC",,,,,"Sep 29, 2011",,,"Public, Public +, Hotel",24hr,G,Private - Radisson,Hidden through exclusivity,H,L/M
Utilities_05,Hunter Connection Toilets,"Hunter Connection Food Court, Level 1 (Wynyard/Hunter St end)",Male: 1WC; Female: 1WC,,,,,9/29/11,,,"Public, Shopping Complex",0900-1800,1,Private,"Upstairs behind a fire exit door, past a large number of food outlets",M,H
Utilities_06,The Strand Toilets,"The Strand Arcade, 412-414 George Street. Level 3 (Pitt St end)","Male: 1WC, 2U; Female: 3WC",,,,,9/29/11,,,"Public, Shopping Complex",0900-1730,3,Private - Ipoh,Upstairs with no other shops ,H,L/M
Utilities_07,Mid City Centre Toilets,"Mid City Centre , 197 Pitt Street Mall. Level 2",Male: 3WC 4U; Female: 10WC; Accessible WC in both male and female restrooms,,,,,9/29/11,,,"Public, Shopping Complex",0900-1800,2,Private - Lendlease,Fairly direct route via lift or escalators,Male: H; Female: M,M
Utilities_09,Hitlon Hotel Foyer Toilets,"Hilton Sydney, 488 George Street. Level 2","Male: 4WC, 8U; Female: 10WC",,,,,9/29/11,,,"Public, Public +, Hotel",24hr,2,Private - Hilton Group,Upstairs via an exclusive hotel lobby and restaurant entrance,H,L
Utilities_10,QVB Toilets,"Queen Victoria Building, 455 George Street. Level 1 (Town Hall end)","Male: 2WC, 4U; Female:?",,,,,9/29/11,,,"Public, Shopping Complex",0800-1800,1,Private - Ipoh,Upstairs,M/H,M
Wild flowers,Wild flowers growing behind Town Hall,"-33.873017,151.206036",,,,,,,,,,,,,,,
